,complex_name
0,HLA-01-01
1,HLA-01-03
2,HLA-02-01
3,HLA-02-02
4,HLA-02-03
5,HLA-02-04
6,HLA-02-05
7,HLA-02-06
8,HLA-02-07
9,HLA-02-10
10,HLA-02-11
11,HLA-02-12
12,HLA-02-14
13,HLA-02-16
14,HLA-02-17
15,HLA-02-19
16,HLA-02-20
17,HLA-02-50
18,HLA-03-01
19,HLA-03-02
20,HLA-03-19
21,HLA-11-01
22,HLA-11-02
23,HLA-23-01
24,HLA-24-02
25,HLA-24-03
26,HLA-24-06
27,HLA-24-07
28,HLA-24-13
29,HLA-24-19
30,HLA-25-01
31,HLA-26-01
32,HLA-26-02
33,HLA-26-03
34,HLA-29-01
35,HLA-29-02
36,HLA-30-01
37,HLA-30-02
38,HLA-30-03
39,HLA-30-04
40,HLA-31-01
41,HLA-32-01
42,HLA-32-07
43,HLA-32-15
44,HLA-33-01
45,HLA-33-03
46,HLA-34-01
47,HLA-34-02
48,HLA-36-01
49,HLA-43-01
50,HLA-66-01
51,HLA-66-02
52,HLA-68-01
53,HLA-68-02
54,HLA-68-23
55,HLA-69-01
56,HLA-74-01
57,HLA-80-01
58,HLA-07-02
59,HLA-07-04
60,HLA-08-01
61,HLA-08-02
62,HLA-08-03
63,HLA-13-01
64,HLA-13-02
65,HLA-14-01
66,HLA-14-02
67,HLA-14-03
68,HLA-15-01
69,HLA-15-02
70,HLA-15-03
71,HLA-15-08
72,HLA-15-09
73,HLA-15-10
74,HLA-15-11
75,HLA-15-13
76,HLA-15-16
77,HLA-15-17
78,HLA-15-18
79,HLA-15-42
80,HLA-18-01
81,HLA-18-03
82,HLA-18-05
83,HLA-27-01
84,HLA-27-02
85,HLA-27-03
86,HLA-27-04
87,HLA-27-05
88,HLA-27-06
89,HLA-27-07
90,HLA-27-08
91,HLA-27-09
92,HLA-27-10
93,HLA-27-20
94,HLA-35-01
95,HLA-35-02
96,HLA-35-03
97,HLA-35-04
98,HLA-35-06
99,HLA-35-07
100,HLA-35-08
101,HLA-37-01
102,HLA-38-01
103,HLA-38-02
104,HLA-39-01
105,HLA-39-02
106,HLA-39-05
107,HLA-39-06
108,HLA-39-09
109,HLA-39-10
110,HLA-39-24
111,HLA-40-01
112,HLA-40-02
113,HLA-40-06
114,HLA-40-13
115,HLA-40-32
116,HLA-41-01
117,HLA-41-02
118,HLA-41-03
119,HLA-41-04
120,HLA-41-05
121,HLA-41-06
122,HLA-42-01
123,HLA-42-02
124,HLA-44-02
125,HLA-44-03
126,HLA-44-05
127,HLA-44-06
128,HLA-44-08
129,HLA-44-09
130,HLA-44-27
131,HLA-44-28
132,HLA-45-01
133,HLA-45-06
134,HLA-46-01
135,HLA-47-01
136,HLA-48-01
137,HLA-49-01
138,HLA-50-01
139,HLA-50-02
140,HLA-51-01
141,HLA-51-02
142,HLA-51-08
143,HLA-52-01
144,HLA-53-01
145,HLA-54-01
146,HLA-55-01
147,HLA-55-02
148,HLA-56-01
149,HLA-57-01
150,HLA-57-02
151,HLA-57-03
152,HLA-58-01
153,HLA-58-02
154,HLA-67-01
155,HLA-73-01
156,HLA-81-01
157,HLA-83-01
158,HLA-01-02
159,HLA-02-02
160,HLA-02-10
161,HLA-03-02
162,HLA-03-03
163,HLA-03-04
164,HLA-04-01
165,HLA-04-03
166,HLA-05-01
167,HLA-06-02
168,HLA-07-01
169,HLA-07-02
170,HLA-07-04
171,HLA-07-06
172,HLA-08-01
173,HLA-08-02
174,HLA-08-03
175,HLA-12-02
176,HLA-12-03
177,HLA-12-04
178,HLA-14-02
179,HLA-14-03
180,HLA-15-02
181,HLA-15-05
182,HLA-16-01
183,HLA-16-02
184,HLA-16-04
185,HLA-17-01
